patch	packages	verdict	substring	requirement	note
01-isLeafLine-bare-prefix.patch	./app/	EXPECTED-RED	resolved into the wrong value	FR-009	Widening the leaf match to a bare prefix reddens ./app/ only. testutil/configtest itself stays GREEN, which is the point of FR-009: the harness has no test of its own for the predicate every row assertion flows through.
02-assertResolvedView-gutted.patch	./testutil/configtest/ ./app/ ./evmrpc/config/ ./x/evm/replay/ ./giga/executor/config/	EXPECTED-GREEN		NONE	Measured: gutting the also-moved-a-field comparison leaves all five packages green. No FR in spec.md names this construct -- FR-009 covers the leaf helpers, not the comparison that uses them. Spec gap to close before phase 2 lands.
03-evmrpc-checkrow-deleted.patch	./evmrpc/config/	EXPECTED-GREEN		FR-016	Deleting a CheckRow call removes coverage without failing anything. FR-016's per-process record of asserted (section, key) pairs is what makes the deletion reportable.
04-replay-ToBoolE-to-ToBool.patch	./x/evm/replay/	EXPECTED-GREEN		FR-025	Reported test 5. contract_state_checks is declared Checked:true but its only seed always casts cleanly, so the checked branch is never reached and the column is decoration.
05-app-SupplyEnabled-flipped.patch	./app/	EXPECTED-GREEN		FR-023	A default moves and nothing records it: light_invariance has no checked-in defaults record. FR-023 requires one for every CheckRow-driven section.
06-giga-wiring-deleted.patch	./giga/executor/config/	EXPECTED-GREEN		FR-017	Three wiring calls deleted from a fully-wired section, still green. FR-017's per-section record of which checks the section wires is what catches it.
07-app_config-StateStore-overwrite-removed.patch	./cmd/seid/cmd/	EXPECTED-GREEN		FR-028	Removing the overwrite makes seid init --mode archive start honouring the mode overlay, changing what a node prunes, with nothing red.
08-sink-null-no-longer-replaces-set.patch	./sei-tendermint/internal/state/indexer/sink/	EXPECTED-RED	stayed one-sided	REPORTED-1	Caught, but attributed to the one-sidedness guard rather than to the identity assertion: the mutation makes every boot fail (0/250). Kept because it pins that behaviour, and paired with 08b, which isolates the identity property.
08b-sink-null-returns-kv-same-arity.patch	./sei-tendermint/internal/state/indexer/sink/	EXPECTED-RED	null must discard the kv sink	REPORTED-1	The row that proves reported test 1 is really fixed. Arity stays at one sink and only identity changes, so the len(sinks) assertion this replaced would have passed it.
09-baseapp-tracing-sense-flipped.patch	./sei-cosmos/baseapp/	EXPECTED-RED	handed back a live span	REPORTED-2	Reported test 2. The old assertion checked only that construction did not panic, so it passed with tracing on by default.
single-entry-map-error-text	./testutil/configtest/	NOT-OBSERVABLE		FR-005	No patch: fuzzing.ConfigValue's only map shape carries one entry and CheckRow's input is one key, so no map-order nondeterminism is reachable and no mutation can make the two reads' error text differ. FR-011 is the enabling change -- a map shape with two or more entries. Recorded so a mechanically-unreachable case is not filed as a capability gap.
